Cur_Team,Opponent,elo_i,opp_elo_i,pred
TRH,NYK,1208.3134,1255.6846,-2
TRH,CHS,1208.3134,1482.5576,-10
TRH,DTF,1208.3134,1199.1213,0
TRH,WSC,1208.3134,1370.736,-6
TRH,BOS,1208.3134,1524.5715,-11
TRH,PRO,1208.3134,1230.696,-1
TRH,PIT,1208.3134,1111.4615,3
TRH,STB,1208.3134,1395.8203,-7
TRH,CLR,1208.3134,1287.1998,-3
TRH,PHW,1208.3134,1569.9929,-13
TRH,BLB,1208.3134,1268.1525,-2
TRH,INJ,1208.3134,1312.3342,-4
TRH,FTW,1208.3134,1433.4027,-8
TRH,MNL,1208.3134,1461.1439,-9
TRH,ROC,1208.3134,1462.6226,-9
TRH,TRI,1208.3134,1398.8395,-7
TRH,DNN,1208.3134,1171.1479,1
TRH,INO,1208.3134,1439.172,-8
TRH,SHE,1208.3134,1300.2838,-3
TRH,WAT,1208.3134,1330.1293,-4
TRH,AND,1208.3134,1525.3302,-11
TRH,SYR,1208.3134,1559.7542,-12
TRH,MLH,1208.3134,1467.2375,-9
TRH,STL,1208.3134,1526.5026,-11
TRH,DET,1208.3134,1461.0784,-9
TRH,CIN,1208.3134,1401.92,-7
TRH,LAL,1208.3134,1283.2395,-3
TRH,CHP,1208.3134,1253.2574,-2
TRH,CHZ,1208.3134,1361.585,-5
TRH,SFW,1208.3134,1410.2909,-7
TRH,BAL,1208.3134,1510.1842,-11
TRH,PHI,1208.3134,1276.1891,-2
TRH,CHI,1208.3134,1591.0453,-13
TRH,SEA,1208.3134,1303.0555,-3
TRH,OAK,1208.3134,1530.7813,-11
TRH,ANA,1208.3134,1157.6787,2
TRH,INA,1208.3134,1505.9175,-10
TRH,SDR,1208.3134,1497.4712,-10
TRH,KEN,1208.3134,1546.7833,-12
TRH,DNR,1208.3134,1399.2731,-7
TRH,DLC,1208.3134,1337.0886,-5
TRH,HSM,1208.3134,1218.2058,0
TRH,NOB,1208.3134,1404.6008,-7
TRH,MNM,1208.3134,1363.6349,-5
TRH,NJA,1208.3134,1288.5856,-3
